Joint 0 dyn,Joint 0 lin,Joint 0 diff,Joint 1 dyn,Joint 1 lin,Joint 1 diff,Joint 2 dyn,Joint 2 lin,Joint 2 diff,Joint 3 dyn,Joint 3 lin,Joint 3 diff,Joint 4 dyn,Joint 4 lin,Joint 4 diff,Joint 5 dyn,Joint 5 lin,Joint 5 diff,Joint 6 dyn,Joint 6 lin,Joint 6 diff,Cube X dyn,Cube X lin,Cube X diff,Cube Y dyn,Cube Y lin,Cube Y diff,Cube rot dyn,Cube rot lin,Cube rot diff,Joint 0 vel dyn,Joint 0 vel lin,Joint 0 vel diff,Joint 1 vel dyn,Joint 1 vel lin,Joint 1 vel diff,Joint 2 vel dyn,Joint 2 vel lin,Joint 2 vel diff,Joint 3 vel dyn,Joint 3 vel lin,Joint 3 vel diff,Joint 4 vel dyn,Joint 4 vel lin,Joint 4 vel diff,Joint 5 vel dyn,Joint 5 vel lin,Joint 5 vel diff,Joint 6 vel dyn,Joint 6 vel lin,Joint 6 vel diff,Cube X  vel dyn,Cube X vel lin,Cube X vel diff,Cube Y vel dyn,Cube Y vel lin,Cube Y vel diff,Cube rot vel dyn,Cube rot vel lin,Cube rot vel diff
-0.119926,-0.119927,-4.77086e-07,-0.145633,-0.145618,1.41901e-05,0.0601024,0.0601021,-3.04729e-07,-2.99962,-2.99964,-1.90231e-05,-0.000715428,-0.000720243,-4.81529e-06,1.33752,1.33748,-3.59376e-05,1.70976e-05,1.72979e-05,2.00296e-07,0.4,0.4,0,-1.66533e-20,-1.77608e-20,-1.10745e-21,0,1.12523e-19,1.12523e-19,0.00604243,0.0061767,0.000134269,0.020009,0.0191585,-0.000850487,0.00618424,0.0063039,0.000119659,0.0711874,0.0727188,0.00153143,-0.0238438,-0.0234027,0.000441077,-0.0726424,-0.0703276,0.0023148,0.000258594,0.000228204,-3.03899e-05,-1.38778e-19,-2.56615e-19,-1.17837e-19,-4.16334e-19,8.21382e-19,1.23772e-18,4.2196e-17,4.2263e-17,6.70663e-20,
-0.119914,-0.119914,-2.89743e-07,-0.145599,-0.145586,1.26202e-05,0.0601148,0.0601147,-1.3873e-07,-2.99947,-2.99949,-1.64274e-05,-0.000761203,-0.000765391,-4.1872e-06,1.33739,1.33736,-3.16554e-05,1.75327e-05,1.77097e-05,1.76942e-07,0.4,0.4,0,-1.58207e-20,-1.69337e-20,-1.113e-21,0,1.12466e-19,1.12466e-19,0.00610151,0.00619742,9.59061e-05,0.0170564,0.0162781,-0.000778347,0.00620814,0.00629168,8.35356e-05,0.0750738,0.0763637,0.00128987,-0.0228877,-0.0225488,0.000338869,-0.065301,-0.0631357,0.00216529,0.000217562,0.000183412,-3.41495e-05,-1.38778e-19,-2.725e-19,-1.33723e-19,4.16334e-19,-4.98656e-19,-9.1499e-19,3.51633e-17,2.8079e-17,-7.08436e-18,
-0.119902,-0.119902,-1.559e-07,-0.14557,-0.145558,1.11926e-05,0.0601273,0.0601272,-2.35449e-08,-2.99932,-2.99933,-1.42163e-05,-0.000805287,-0.000808979,-3.69204e-06,1.33727,1.33724,-2.77788e-05,1.78974e-05,1.80506e-05,1.53212e-07,0.4,0.4,0,-1.60982e-20,-1.66483e-20,-5.50115e-22,0,8.43638e-20,8.43638e-20,0.0061327,0.00620157,6.88658e-05,0.0144409,0.013733,-0.000707842,0.00620848,0.00626669,5.82175e-05,0.0784535,0.079552,0.00109856,-0.0220416,-0.021768,0.000273585,-0.0588689,-0.0569124,0.00195651,0.000182341,0.000146369,-3.59725e-05,1.38778e-19,9.49376e-20,-4.38403e-20,-1.38778e-19,7.30291e-19,8.69069e-19,1.40653e-17,2.59153e-17,1.185e-17,
-0.119889,-0.119889,-6.02316e-08,-0.145545,-0.145535,9.90214e-06,0.0601396,0.0601397,5.57058e-08,-2.99915,-2.99917,-1.23186e-05,-0.000847863,-0.000851147,-3.28407e-06,1.33716,1.33714,-2.43289e-05,1.82023e-05,1.83331e-05,1.30839e-07,0.4,0.4,0,-1.69309e-20,-1.52683e-20,1.66256e-21,0,7.02422e-20,7.02422e-20,0.00614396,0.00619349,4.95292e-05,0.012129,0.0114893,-0.000639741,0.00619271,0.00623301,4.03024e-05,0.0813968,0.0823394,0.000942576,-0.0212881,-0.0210571,0.000230969,-0.0532414,-0.0515037,0.00173771,0.000152436,0.000115745,-3.66914e-05,4.16334e-19,3.0442e-19,-1.11914e-19,-4.16334e-19,-2.71024e-19,1.4531e-19,-7.03266e-18,2.95889e-18,9.99155e-18,
-0.119877,-0.119877,7.82514e-09,-0.145525,-0.145516,8.74194e-06,0.060152,0.0601521,1.09292e-07,-2.99899,-2.999,-1.06815e-05,-0.000889092,-0.000892028,-2.9364e-06,1.33707,1.33704,-2.1285e-05,1.84567e-05,1.85674e-05,1.10753e-07,0.4,0.4,0,-1.66533e-20,-1.72112e-20,-5.57887e-22,0,2.80463e-20,2.80463e-20,0.0061411,0.00617661,3.55092e-05,0.0100895,0.00951454,-0.000575001,0.00616618,0.00619368,2.74953e-05,0.0839629,0.0847758,0.000812892,-0.0206145,-0.0204129,0.000201628,-0.0483216,-0.0467919,0.00152971,0.00012721,9.04678e-05,-3.67418e-05,1.38778e-19,4.65853e-19,3.27075e-19,1.38778e-19,-5.23388e-19,-6.62166e-19,2.1098e-17,-1.09451e-17,-3.20431e-17,
-0.119865,-0.119865,5.56958e-08,-0.145509,-0.145501,7.70357e-06,0.0601642,0.0601644,1.44412e-07,-2.99881,-2.99882,-9.26398e-06,-0.000929114,-0.000931748,-2.63333e-06,1.33698,1.33696,-1.86112e-05,1.86687e-05,1.8762e-05,9.32769e-08,0.4,0.4,0,-1.47105e-20,-1.74832e-20,-2.77278e-21,0,-1.39528e-20,-1.39528e-20,0.00612839,0.00615362,2.52336e-05,0.00829334,0.00777896,-0.000514372,0.00613278,0.00615105,1.82692e-05,0.0862018,0.0869055,0.00070362,-0.0200113,-0.0198313,0.000179998,-0.0440226,-0.0426823,0.00134028,0.000106002,6.95442e-05,-3.64576e-05,4.16334e-19,3.22372e-19,-9.39614e-20,9.71445e-19,4.72976e-19,-4.98469e-19,-1.2326e-32,2.26534e-17,2.26534e-17,
-0.119853,-0.119853,8.87082e-08,-0.145495,-0.145488,6.77775e-06,0.0601764,0.0601766,1.66201e-07,-2.99864,-2.99865,-8.03316e-06,-0.000968055,-0.000970421,-2.36546e-06,1.3369,1.33688,-1.62675e-05,1.88451e-05,1.89235e-05,7.83624e-08,0.4,0.4,0,-1.44329e-20,-1.44257e-20,7.21645e-24,0,4.21116e-20,4.21116e-20,0.00610897,0.00612662,1.76492e-05,0.00671366,0.00625535,-0.000458318,0.00609528,0.00610688,1.15972e-05,0.0881564,0.088767,0.00061068,-0.0194706,-0.0193076,0.000162951,-0.0402673,-0.039096,0.00117134,8.8198e-05,5.21482e-05,-3.60498e-05,4.16334e-19,5.12076e-19,9.57425e-20,1.38778e-19,1.48068e-18,1.3419e-18,-7.03266e-18,-7.14359e-18,-1.10928e-19,
-0.11984,-0.11984,1.10752e-07,-0.145485,-0.145479,5.95483e-06,0.0601886,0.0601887,1.78375e-07,-2.99846,-2.99846,-6.96219e-06,-0.00100603,-0.00100815,-2.12687e-06,1.33682,1.33681,-1.42149e-05,1.89916e-05,1.90574e-05,6.57783e-08,0.4,0.4,0,-1.36002e-20,-1.24928e-20,1.10745e-21,0,-2.81307e-23,-2.81307e-23,0.00608519,0.00609722,1.20328e-05,0.00532619,0.00491916,-0.000407033,0.00605571,0.00606248,6.7753e-06,0.0898632,0.0903942,0.000531092,-0.0189857,-0.0188369,0.000148769,-0.0369882,-0.0359659,0.00102225,7.32535e-05,3.76223e-05,-3.56312e-05,4.16334e-19,5.89293e-19,1.72959e-19,4.16334e-19,-3.41147e-19,-7.57481e-19,-4.2196e-17,-5.99784e-18,3.61981e-17,
-0.119828,-0.119828,1.24706e-07,-0.145476,-0.145471,5.22522e-06,0.0602006,0.0602008,1.83658e-07,-2.99828,-2.99828,-6.02878e-06,-0.00104313,-0.00104504,-1.91353e-06,1.33675,1.33674,-1.24179e-05,1.9113e-05,1.91682e-05,5.52277e-08,0.4,0.4,0,-1.27676e-20,-1.33199e-20,-5.52336e-22,0,-1.4206e-20,-1.4206e-20,0.00605874,0.00606662,7.87527e-06,0.00410893,0.00374843,-0.000360504,0.00601549,0.0060188,3.30966e-06,0.0913539,0.0918165,0.000462593,-0.0185508,-0.0184143,0.000136521,-0.0341258,-0.0332345,0.000891362,6.07007e-05,2.54475e-05,-3.52533e-05,1.38778e-19,4.20827e-19,2.82049e-19,4.16334e-19,3.01257e-19,-1.15077e-19,-3.51633e-17,-3.79209e-17,-2.75758e-18,
-0.119816,-0.119816,1.3272e-07,-0.14547,-0.145466,4.57966e-06,0.0602125,0.0602127,1.84061e-07,-2.99809,-2.99809,-5.2142e-06,-0.00107945,-0.00108117,-1.72247e-06,1.33669,1.33668,-1.08447e-05,1.92133e-05,1.92597e-05,4.64095e-08,0.4,0.4,0,-1.19349e-20,-1.19332e-20,1.66533e-24,0,-8.43638e-20,-8.43638e-20,0.00603089,0.0060357,4.80952e-06,0.00304214,0.00272357,-0.000318574,0.00597563,0.00597647,8.46238e-07,0.0926559,0.0930594,0.00040341,-0.0181607,-0.018035,0.000125693,-0.0316284,-0.0308516,0.000776741,5.0145e-05,1.52116e-05,-3.49335e-05,-4.16334e-19,-1.20438e-19,2.95896e-19,4.16334e-19,5.43171e-19,1.26838e-19,-2.1098e-17,-2.71496e-17,-6.05157e-18,
