Control Number,T,,P,,V,,
0,-77.4121,-4.05566,1.51029,-0.0132745,0.488822,-0.629157,
1,-73.1407,-8.50922,1.50931,-0.00499672,-0.487666,1.79684,
2,-69.2513,-11.9614,1.50009,0.0230002,-1.2107,3.46626,
3,-65.7084,-14.5252,1.48489,0.0639934,-1.72513,4.51804,
4,-62.4793,-16.3043,1.46556,0.112524,-2.06982,5.07202,
5,-59.5261,-17.4118,1.44358,0.164287,-2.28207,5.24185,
6,-56.8058,-17.9724,1.42007,0.21608,-2.39746,5.13519,
7,-54.2744,-18.1109,1.3958,0.265702,-2.44726,4.84631,
8,-51.8928,-17.9392,1.37127,0.31178,-2.45613,4.44975,
9,-49.6291,-17.5485,1.3468,0.353562,-2.4416,3.99891,
10,-47.46,-17.008,1.32255,0.390719,-2.41508,3.52903,
11,-45.369,-16.3681,1.2986,0.423192,-2.38335,3.06172,
12,-43.3455,-15.6642,1.27497,0.451083,-2.35015,2.60934,
13,-41.3828,-14.9209,1.25167,0.474582,-2.31726,2.17847,
14,-39.4769,-14.1554,1.22869,0.493922,-2.28536,1.77219,
15,-37.6259,-13.38,1.20602,0.509355,-2.25457,1.39163,
16,-35.8287,-12.6035,1.18366,0.521139,-2.2247,1.03693,
17,-34.0851,-11.8324,1.16159,0.529531,-2.19553,0.707707,
18,-32.3949,-11.072,1.1398,0.534781,-2.16681,0.403438,
19,-30.7583,-10.3263,1.11831,0.537135,-2.13842,0.12356,
20,-29.1751,-9.59883,1.09709,0.536834,-2.1103,-0.132441,
21,-27.6453,-8.89264,1.07615,0.534113,-2.08247,-0.365015,
22,-26.1683,-8.21033,1.05549,0.529205,-2.05507,-0.57456,
23,-24.7436,-7.55419,1.0351,0.522338,-2.02828,-0.761448,
24,-23.3705,-6.92621,1.01498,0.513734,-2.0023,-0.926063,
25,-22.0478,-6.32808,0.995104,0.503615,-1.97738,-1.06884,
26,-20.7746,-5.76115,0.975473,0.492195,-1.95374,-1.19028,
27,-19.5494,-5.22644,0.95607,0.479685,-1.93159,-1.29104,
28,-18.3711,-4.72459,0.936878,0.466286,-1.91109,-1.37186,
29,-17.2382,-4.25588,0.917882,0.452192,-1.89234,-1.43369,
30,-16.1493,-3.82021,0.899062,0.437586,-1.87536,-1.47762,
31,-15.1032,-3.41707,0.880402,0.422641,-1.86013,-1.50491,
32,-14.0984,-3.04565,0.861885,0.407514,-1.84654,-1.51695,
33,-13.1339,-2.70476,0.843495,0.392349,-1.8344,-1.51528,
34,-12.2084,-2.39298,0.82522,0.377272,-1.82348,-1.50151,
35,-11.3209,-2.1086,0.807048,0.362396,-1.81352,-1.47733,
36,-10.4704,-1.84978,0.788971,0.347814,-1.8042,-1.4444,
37,-9.65582,-1.61454,0.770986,0.333604,-1.79522,-1.40438,
38,-8.87638,-1.40085,0.753091,0.319828,-1.78624,-1.35885,
39,-8.13119,-1.20666,0.735287,0.306531,-1.77698,-1.30929,
40,-7.41943,-1.03001,0.717579,0.293746,-1.76714,-1.25705,
41,-6.74028,-0.868988,0.699974,0.281493,-1.75649,-1.20331,
42,-6.09292,-0.721818,0.682482,0.26978,-1.74483,-1.1491,
43,-5.47654,-0.586872,0.665113,0.258608,-1.73199,-1.09529,
44,-4.89031,-0.462678,0.647881,0.247967,-1.71786,-1.04259,
45,-4.33339,-0.347931,0.630797,0.237843,-1.70236,-0.991536,
46,-3.80492,-0.241491,0.613877,0.228218,-1.68546,-0.94254,
47,-3.30404,-0.142376,0.597135,0.219069,-1.66716,-0.895883,
48,-2.82986,-0.0497541,0.580583,0.210371,-1.64748,-0.851737,
49,-2.38149,0.0370715,0.564236,0.2021,-1.62648,-0.810186,
50,-1.95804,0.118677,0.548107,0.194229,-1.60423,-0.771236,
51,-1.5586,0.195532,0.532207,0.186732,-1.58083,-0.734839,
52,-1.18228,0.268019,0.516547,0.179585,-1.55636,-0.7009,
53,-0.82818,0.336442,0.501138,0.172763,-1.53093,-0.669296,
54,-0.495428,0.401046,0.485988,0.166244,-1.50466,-0.639881,
55,-0.183152,0.462027,0.471105,0.160007,-1.47765,-0.612499,
56,0.109502,0.51954,0.456496,0.154033,-1.45001,-0.586989,
57,0.383369,0.573714,0.442166,0.148304,-1.42184,-0.563191,
58,0.639263,0.624655,0.428121,0.142804,-1.39324,-0.540949,
59,0.877977,0.672456,0.414363,0.137518,-1.3643,-0.520117,
60,1.10028,0.717197,0.400897,0.132432,-1.33511,-0.500559,
61,1.30692,0.758956,0.387723,0.127536,-1.30575,-0.482148,
62,1.49862,0.797806,0.374844,0.122817,-1.2763,-0.46477,
63,1.67608,0.83382,0.362259,0.118267,-1.24681,-0.448323,
64,1.83997,0.867071,0.349969,0.113876,-1.21736,-0.432715,
