X0 dyn,X0 lin,X0 diff,X1 dyn,X1 lin,X1 diff,X2 dyn,X2 lin,X2 diff,X3 dyn,X3 lin,X3 diff,X4 dyn,X4 lin,X4 diff,X5 dyn,X5 lin,X5 diff,X6 dyn,X6 lin,X6 diff,X7 dyn,X7 lin,X7 diff,X8 dyn,X8 lin,X8 diff,X9 dyn,X9 lin,X9 diff,X10 dyn,X10 lin,X10 diff,X11 dyn,X11 lin,X11 diff,X12 dyn,X12 lin,X12 diff,X13 dyn,X13 lin,X13 diff,X14 dyn,X14 lin,X14 diff,X15 dyn,X15 lin,X15 diff
0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
-3.24879E-19,0.000159236,0.000159236,1.45647E-18,-1.03569E-33,-1.45647E-18,0.1,0.1,0,-1.14058E-18,0,1.14058E-18,-1.62717E-17,0.0446025,0.0446025,2.70964E-17,-4.90685E-31,-2.70964E-17,-1.85615E-17,0,1.85615E-17,-3.06179E-17,0,3.06179E-17,,,,,,,,,,,,,,,,,,,,,,,,
0.000335015,0.000160641,-0.000174374,1.72744E-18,1.72744E-18,-1.34815E-33,0.1,0.1,0,-1.44676E-18,-1.44676E-18,0,0.0522036,0.0450333,-0.00717028,2.70964E-17,2.70964E-17,-4.9612E-31,-1.85615E-17,-1.85615E-17,0,-3.06179E-17,-3.06179E-17,0,,,,,,,,,,,,,,,,,,,,,,,,
0.00106332,0.000919461,-0.000143856,1.9984E-18,1.9984E-18,3.85186E-34,0.1,0.1,-9.71445E-17,-1.71608E-18,2.69988E-16,2.71704E-16,0.084711,0.0752399,-0.00947106,2.70964E-17,2.70964E-17,0,-7.22621E-18,-3.01112E-14,-3.0104E-14,-1.77592E-17,8.04317E-14,8.04494E-14,,,,,,,,,,,,,,,,,,,,,,,,
0.00204485,0.00191341,-0.000131438,2.26937E-18,2.26937E-18,-2.31112E-33,0.1,0.1,1.38778E-17,-1.82324E-18,-1.89367E-18,-7.04298E-20,0.105892,0.0944302,-0.0114621,2.70964E-17,2.70964E-17,-6.56357E-31,-2.8894E-18,3.67948E-15,3.68237E-15,-1.05601E-17,-1.77592E-17,-7.1991E-18,,,,,,,,,,,,,,,,,,,,,,,,
0.00318878,0.00308,-0.00010878,2.54033E-18,2.54033E-18,3.85186E-33,0.1,0.1,-1.42941E-15,-1.90074E-18,7.06818E-17,7.25825E-17,0.119143,0.109787,-0.00935563,2.70964E-17,2.70964E-17,7.98105E-31,-1.84856E-18,-4.28175E-13,-4.28173E-13,-5.35596E-18,1.79464E-14,1.79517E-14,,,,,,,,,,,,,,,,,,,,,,,,
0.00442766,0.00440677,-2.08999E-05,2.81129E-18,2.81129E-18,-3.46667E-33,0.1,0.1,0,-1.95221E-18,-1.27397E-16,-1.25445E-16,0.12668,0.135731,0.0090511,2.70964E-17,2.70964E-17,-9.33691E-31,-4.27718E-18,-1.84856E-18,2.42861E-18,-5.35596E-18,-3.16984E-14,-3.16931E-14,,,,,,,,,,,,,,,,,,,,,,,,
0.00583534,0.00597446,0.000139119,3.08226E-18,3.08226E-18,-8.08891E-33,0.1,0.1,0,-1.98357E-18,-2.00577E-18,-2.22045E-20,0.15632,0.21068,0.0543598,2.70964E-17,2.70964E-17,-2.38199E-30,1.27394E-18,-4.27718E-18,-5.55112E-18,-4.98733E-19,-5.35596E-18,-4.85723E-18,,,,,,,,,,,,,,,,,,,,,,,,
0.00781854,0.00767854,-0.00014,3.35322E-18,3.35322E-18,-1.00148E-32,0.1,0.1,-2.498E-16,-1.99064E-18,-2.4485E-16,-2.42859E-16,0.22632,0.24032,0.014,2.70964E-17,2.70964E-17,-2.84113E-30,-1.13841E-19,-7.28571E-14,-7.2857E-14,1.95156E-19,-7.28589E-14,-7.28591E-14,,,,,,,,,,,,,,,,,,,,,,,,
0.00999665,0.0099694,-2.72578E-05,3.48208E-18,-5.31917E-16,-5.35399E-16,0.1,0.1,-2.498E-16,-1.99493E-18,1.1375E-17,1.33699E-17,0.19719,0.210752,0.0135629,3.50414E-18,-1.3722E-13,-1.37224E-13,-1.15468E-18,-7.28585E-14,-7.28573E-14,-8.45678E-19,1.68916E-14,1.68924E-14,,,,,,,,,,,,,,,,,,,,,,,,
