X0 dyn,X0 lin,X0 diff,X1 dyn,X1 lin,X1 diff,X2 dyn,X2 lin,X2 diff,X3 dyn,X3 lin,X3 diff,X4 dyn,X4 lin,X4 diff,X5 dyn,X5 lin,X5 diff,X6 dyn,X6 lin,X6 diff,X7 dyn,X7 lin,X7 diff,X8 dyn,X8 lin,X8 diff,X9 dyn,X9 lin,X9 diff,X10 dyn,X10 lin,X10 diff,X11 dyn,X11 lin,X11 diff,X12 dyn,X12 lin,X12 diff,X13 dyn,X13 lin,X13 diff,X14 dyn,X14 lin,X14 diff,X15 dyn,X15 lin,X15 diff
0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
-3.24879E-19,0,3.24879E-19,1.45647E-18,0,-1.45647E-18,0.1,0.1,0,-1.14058E-18,0,1.14058E-18,-1.62717E-17,0.017747,0.017747,2.70964E-17,0,-2.70964E-17,-1.85615E-17,0,1.85615E-17,-3.06179E-17,0,3.06179E-17,,,,,,,,,,,,,,,,,,,,,,,,
2.56059E-05,-3.57422E-19,-2.56059E-05,1.51067E-18,1.51067E-18,0,0.1,0.1,0,-1.20182E-18,-1.20182E-18,0,0.0128029,0.0177749,0.00497201,2.70964E-17,2.70964E-17,0,-1.85615E-17,-1.85615E-17,0,-3.06179E-17,-3.06179E-17,0,,,,,,,,,,,,,,,,,,,,,,,,
7.4064E-05,5.12118E-05,-2.28523E-05,1.56486E-18,1.56486E-18,0,0.1,0.1,0,-1.26305E-18,-1.26305E-18,0,0.0242291,0.0292233,0.00499426,2.70964E-17,2.70964E-17,8.01187E-32,-1.85615E-17,-1.85615E-17,0,-3.06179E-17,-3.06179E-17,0,,,,,,,,,,,,,,,,,,,,,,,,
0.000143056,0.000122522,-2.05342E-05,1.61905E-18,1.61905E-18,0,0.1,0.1,0,-1.32429E-18,-1.32429E-18,0,0.0344962,0.0394494,0.00495326,2.70964E-17,2.70964E-17,0,-1.85615E-17,-1.85615E-17,0,-3.06179E-17,-3.06179E-17,0,,,,,,,,,,,,,,,,,,,,,,,,
0.000230608,0.000212049,-1.85591E-05,1.67324E-18,1.67324E-18,0,0.1,0.1,0,-1.38552E-18,-1.38552E-18,0,0.0437757,0.0486462,0.00487054,2.70964E-17,2.70964E-17,0,-1.85615E-17,-1.85615E-17,0,-3.06179E-17,-3.06179E-17,0,,,,,,,,,,,,,,,,,,,,,,,,
0.000335015,0.000318159,-1.68557E-05,1.72744E-18,1.72744E-18,0,0.1,0.1,0,-1.44676E-18,-1.44676E-18,0,0.0522036,0.0569658,0.00476222,2.70964E-17,2.70964E-17,-2.71171E-31,-1.85615E-17,-1.85615E-17,0,-3.06179E-17,-3.06179E-17,0,,,,,,,,,,,,,,,,,,,,,,,,
0.000454791,0.000439422,-1.53692E-05,1.78163E-18,1.78163E-18,0,0.1,0.1,0,-1.508E-18,-1.508E-18,0,0.0598882,0.0645285,0.00464034,2.70964E-17,2.70964E-17,3.20475E-31,-1.85615E-17,-1.85615E-17,0,-3.06179E-17,-3.06179E-17,0,,,,,,,,,,,,,,,,,,,,,,,,
0.000588625,0.000574568,-1.40571E-05,1.83582E-18,1.83582E-18,0,0.1,0.1,0,-1.56923E-18,-1.56923E-18,0,0.0669167,0.0714305,0.0045138,2.70964E-17,2.70964E-17,1.84889E-31,-1.85615E-17,-1.85615E-17,0,-3.06179E-17,-3.06179E-17,0,,,,,,,,,,,,,,,,,,,,,,,,
0.000735344,0.000722458,-1.28862E-05,1.89002E-18,1.89002E-18,0,0.1,0.1,0,-1.63047E-18,-1.63047E-18,0,0.0733598,0.077749,0.00438915,2.70964E-17,2.70964E-17,-2.0646E-31,-1.85615E-17,-1.80851E-15,-1.78995E-15,-3.06179E-17,6.36211E-16,6.66829E-16,,,,,,,,,,,,,,,,,,,,,,,,
0.000893895,0.000882064,-1.1831E-05,1.94421E-18,1.94421E-18,0,0.1,0.1,0,-1.68056E-18,-1.6917E-18,-1.11456E-20,0.0792753,0.0835465,0.00427114,2.70964E-17,2.70964E-17,2.24949E-31,-1.04788E-17,1.09495E-15,1.10543E-15,-2.50451E-17,-3.3265E-14,-3.32399E-14,,,,,,,,,,,,,,,,,,,,,,,,
0.00106332,0.00105245,-1.08713E-05,1.9984E-18,1.9984E-18,0,0.1,0.1,0,-1.71608E-18,-1.73065E-18,-1.45717E-20,0.084711,0.0888742,0.00416319,2.70964E-17,2.70964E-17,0,-7.22621E-18,-1.04345E-14,-1.04273E-14,-1.77592E-17,2.63239E-14,2.63417E-14,,,,,,,,,,,,,,,,,,,,,,,,
0.00124273,0.00123274,-9.99127E-06,2.05259E-18,2.05259E-18,0,0.1,0.1,0,-1.74014E-18,-1.75159E-18,-1.14492E-20,0.0897066,0.0937743,0.00406768,2.70964E-17,2.70964E-17,0,-4.53739E-18,1.71052E-14,1.71098E-14,-1.20346E-17,-3.18449E-14,-3.18329E-14,,,,,,,,,,,,,,,,,,,,,,,,
0.00143132,0.00142214,-9.17846E-06,2.10679E-18,2.10679E-18,0,0.1,0.1,0,-1.76022E-18,-1.76421E-18,-3.98986E-21,0.0942958,0.0982821,0.00398624,2.70964E-17,2.70964E-17,2.77334E-31,-3.40982E-18,4.85677E-14,4.85711E-14,-1.00397E-17,-9.04278E-15,-9.03274E-15,,,,,,,,,,,,,,,,,,,,,,,,
0.00162834,0.00161991,-8.42291E-06,2.16098E-18,2.16098E-18,0,0.1,0.1,0,-1.781E-18,-1.7803E-18,6.93889E-22,0.0985073,0.102427,0.00391993,2.70964E-17,2.70964E-17,-2.8966E-31,-3.06287E-18,4.08602E-15,4.08908E-15,-1.03867E-17,-8.27926E-16,-8.17539E-16,,,,,,,,,,,,,,,,,,,,,,,,
0.00183307,0.00182535,-7.71667E-06,2.21517E-18,2.21517E-18,0,0.1,0.1,0,-1.80212E-18,-1.80177E-18,3.46945E-22,0.102366,0.106235,0.00386938,2.70964E-17,2.70964E-17,1.50993E-31,-2.19551E-18,-2.56631E-15,-2.56411E-15,-1.05601E-17,1.69844E-15,1.709E-15,,,,,,,,,,,,,,,,,,,,,,,,
0.00204485,0.0020378,-7.05333E-06,2.26937E-18,2.26937E-18,0,0.1,0.1,0,-1.82324E-18,-1.82324E-18,0,0.105892,0.109727,0.0038349,2.70964E-17,2.70964E-17,-1.57156E-31,-2.8894E-18,8.85685E-16,8.88574E-16,-1.05601E-17,-1.05601E-17,9.15202E-31,,,,,,,,,,,,,,,,,,,,,,,,
