X0 dyn,X0 lin,X0 diff,X1 dyn,X1 lin,X1 diff,X2 dyn,X2 lin,X2 diff,X3 dyn,X3 lin,X3 diff,X4 dyn,X4 lin,X4 diff,X5 dyn,X5 lin,X5 diff,X6 dyn,X6 lin,X6 diff,X7 dyn,X7 lin,X7 diff,X8 dyn,X8 lin,X8 diff,X9 dyn,X9 lin,X9 diff,X10 dyn,X10 lin,X10 diff,X11 dyn,X11 lin,X11 diff,X12 dyn,X12 lin,X12 diff,X13 dyn,X13 lin,X13 diff,X14 dyn,X14 lin,X14 diff,X15 dyn,X15 lin,X15 diff,,,,,,
-0.12,-0.12,0,-0.147,-0.147,0,0.06,0.06,0,-3,-3,0,0,0,0,1.34,1.34,0,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.12001,-0.12,9.97075E-06,-0.14645,-0.147,-0.000549624,0.060009,0.06,-8.96967E-06,-3.00037,-3,0.00036928,-7.79136E-05,0,7.79136E-05,1.3398,1.34,0.000202277,-4.35431E-06,0,4.35431E-06,0.4,0.4,0,7.49401E-21,0,-7.49401E-21,-0.00111779,0.00355439,0.00467218,0.0806972,-0.0292958,-0.109993,0.00109806,-0.00763699,-0.00873505,-0.0558053,0.0381837,0.0939889,-0.0131658,-0.0476473,-0.0344816,-0.0503331,-0.0915664,-0.0412333,-0.000320677,0.0515335,0.0518542,7.21645E-18,-7.22376E-12,-7.22377E-12,6.93889E-19,-3.52213E-11,-3.52213E-11
-0.120001,-0.120012,-1.11898E-05,-0.145954,-0.146289,-0.000334744,0.060024,0.0600112,-1.28671E-05,-3.00058,-3.00048,9.69401E-05,-0.000269817,-0.000104245,0.000165572,1.33888,1.3397,0.000812999,3.187E-06,-4.99567E-06,-8.18266E-06,0.4,0.4,0,7.77156E-21,8.88178E-21,1.11022E-21,0.0017392,0.00981336,0.00807416,0.0353737,0.0312168,-0.00415698,0.00210762,-0.0151569,-0.0172645,-0.00654146,-0.00429943,0.00224204,-0.0155479,-0.0739499,-0.058402,-0.0817883,-0.199306,-0.117517,0.000317847,0.0675389,0.0672211,1.16573E-17,-4.6307E-11,-4.6307E-11,-4.16334E-19,-1.98765E-11,-1.98765E-11
-0.11998,-0.119998,-1.74121E-05,-0.145723,-0.145883,-0.000160526,0.0600472,0.0600282,-1.89933E-05,-3.00052,-3.00059,-7.36428E-05,-0.000393702,-0.000300913,9.2789E-05,1.3383,1.33872,0.000424497,5.51681E-06,3.82269E-06,-1.69412E-06,0.4,0.4,0,9.71445E-21,6.93889E-21,-2.77556E-21,0.00219854,0.00925399,0.00705545,0.016814,-0.00107511,-0.0178891,0.00235537,-0.00628321,-0.00863858,0.0128009,0.0207534,0.00795244,-0.010813,-0.0249149,-0.0141019,-0.0458002,-0.115134,-0.0693337,0.000172757,0.016736,0.0165632,1.63758E-17,-8.52052E-13,-8.52068E-13,1.38778E-19,2.64896E-11,2.64896E-11
-0.119958,-0.119976,-1.78575E-05,-0.145614,-0.145689,-7.53266E-05,0.0600704,0.060052,-1.84593E-05,-3.00032,-3.00049,-0.000168714,-0.000486806,-0.000415328,7.14787E-05,1.33797,1.3382,0.000236607,6.66119E-06,5.86232E-06,-7.98863E-07,0.4,0.4,0,9.4369E-21,9.99201E-21,5.55111E-22,0.00221836,0.00950937,0.00729101,0.00778357,-0.0165349,-0.0243185,0.00227343,-0.00627924,-0.00855268,0.0229842,0.0373362,0.0143521,-0.00845188,-0.0212377,-0.0127858,-0.0258516,-0.0819674,-0.0561158,7.88263E-05,0.016621,0.0165422,1.85962E-17,6.71841E-12,6.7184E-12,-4.16334E-19,1.05323E-13,1.05324E-13
-0.119936,-0.119953,-1.73304E-05,-0.145566,-0.145598,-3.23806E-05,0.0600924,0.060075,-1.74453E-05,-3.00006,-3.00028,-0.00021859,-0.000562245,-0.00050371,5.85345E-05,1.33778,1.33792,0.000139182,7.1579E-06,6.81884E-06,-3.39062E-07,0.4,0.4,0,6.38378E-21,8.60423E-21,2.22045E-21,0.00214554,0.00950285,0.00735731,0.00321629,-0.0242139,-0.0274302,0.00215001,-0.00640552,-0.00855553,0.0283079,0.0461296,0.0178217,-0.00704551,-0.0190295,-0.011984,-0.0154681,-0.0647809,-0.0493129,3.48478E-05,0.0163852,0.0163504,1.94289E-17,6.88182E-13,6.88162E-13,-6.93889E-19,-3.73336E-13,-3.73335E-13
-0.119915,-0.119932,-1.67191E-05,-0.145549,-0.14556,-1.04615E-05,0.0601133,0.0600967,-1.65892E-05,-2.99976,-3,-0.000244505,-0.000627458,-0.000576336,5.11226E-05,1.33766,1.33775,8.90035E-05,7.37413E-06,7.2276E-06,-1.46536E-07,0.4,0.4,0,6.66134E-21,4.996E-21,-1.66533E-21,0.00207343,0.00943161,0.00735819,0.000884047,-0.0281169,-0.0290009,0.00205239,-0.0065364,-0.00858879,0.0310694,0.050727,0.0196576,-0.00624339,-0.0177622,-0.0115188,-0.0101246,-0.0559264,-0.0458018,1.58002E-05,0.0163152,0.0162994,1.72085E-17,-2.26215E-12,-2.26217E-12,1.38778E-19,6.4284E-12,6.4284E-12
-0.119895,-0.119911,-1.62568E-05,-0.145548,-0.145547,7.31505E-07,0.0601334,0.0601174,-1.60034E-05,-2.99944,-2.9997,-0.000257878,-0.000686904,-0.000639945,4.69594E-05,1.33757,1.33764,6.33441E-05,7.46692E-06,7.40573E-06,-6.1182E-08,0.4,0.4,0,6.38378E-21,6.93889E-21,5.55111E-22,0.00202082,0.00936737,0.00734656,-0.000305427,-0.0301102,-0.0298047,0.00198693,-0.00663108,-0.00861802,0.0324921,0.0531143,0.0206222,-0.00579318,-0.0170436,-0.0112504,-0.00739862,-0.051394,-0.0439954,7.35448E-06,0.0162791,0.0162717,1.7486E-17,1.85425E-12,1.85423E-12,-1.38778E-19,-7.46884E-12,-7.46884E-12
-0.119875,-0.119891,-1.5944E-05,-0.145555,-0.145549,6.40155E-06,0.060153,0.0601374,-1.5629E-05,-2.99911,-2.99937,-0.000264722,-0.000743112,-0.000698491,4.46208E-05,1.33751,1.33756,5.0397E-05,7.50389E-06,7.48163E-06,-2.22605E-08,0.4,0.4,0,3.88578E-21,6.10623E-21,2.22045E-21,0.0019855,0.00932192,0.00733641,-0.000905861,-0.0311236,-0.0302177,0.00194524,-0.00669228,-0.00863752,0.0332182,0.0543487,0.0211305,-0.00553928,-0.0166391,-0.0110998,-0.00602977,-0.0491031,-0.0430733,3.5003E-06,0.0162582,0.0162547,1.60982E-17,7.00444E-12,7.00442E-12,1.38778E-19,-4.66119E-12,-4.66119E-12
-0.119855,-0.119871,-1.57356E-05,-0.145566,-0.145557,9.21643E-06,0.0601723,0.0601569,-1.53907E-05,-2.99877,-2.99904,-0.000268174,-0.000797469,-0.00075419,4.32785E-05,1.33745,1.3375,4.40391E-05,7.51492E-06,7.51089E-06,-4.03354E-09,0.4,0.4,0,1.94289E-21,4.16334E-21,2.22045E-21,0.00196183,0.00929186,0.00733003,-0.00120164,-0.0316313,-0.0304297,0.0019185,-0.00673059,-0.00864909,0.0335826,0.0549838,0.0214011,-0.00539215,-0.0164079,-0.0110158,-0.00536439,-0.0479741,-0.0426097,1.69247E-06,0.0162445,0.0162428,1.52656E-17,1.43498E-12,1.43497E-12,-1.38778E-19,-1.15558E-11,-1.15558E-11
